UID,Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
3883,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",5/6/2016,5:21:00,Falcon 9 Block 3,JCSAT-14,Retired,62,Success
3884,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",5/15/2016,2:43:00,Long March 2D,Yaogan 30,Active,29.75,Success
3885,Arianespace,"ELS, Guiana Space Centre, French Guiana, France",5/24/2016,8:48:00,Soyuz ST-B/Fregat-MT,Galileo FOC FM10/FM11,Active,30,Success
3886,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",5/27/2016,21:39:00,Falcon 9 Block 3,Thaicom 8,Retired,62,Success
3887,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia",5/29/2016,8:44:00,Soyuz 2.1b/Fregat,GLONASS-M No.51S,Active,25,Success
3888,CASC,"LC-9, Taiyuan Satellite Launch Center, China",5/30/2016,3:17:00,Long March 4B,"Ziyuan III-02 & ??uSat-1, 2",Active,64.68,Success
3889,VKS RF,"Site 133/3, Plesetsk Cosmodrome, Russia",6/4/2016,14:00:00,Rokot/Briz KM,Cosmos 2517,Retired,41.8,Success
3890,ILS,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",6/9/2016,7:10:00,Proton-M/Briz-M,Intelsat 31 / DLA-2,Active,65,Success
3891,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",6/11/2016,17:51:00,Delta IV Heavy,NROL-37,Active,350,Success
3892,CASC,"LC-3, Xichang Satellite Launch Center, China",6/12/2016,15:30:00,Long March 3C/E,BeiDou-2 G7,Active,20,Success
3893,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",6/15/2016,14:29:00,Falcon 9 Block 3,ABS-2A & Eutelsat 117 West B,Retired,62,Success
3894,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",6/18/2016,5:20:00,Ariane 5 ECA,"EchoStar 18, BRISat",Active,200,Success
3895,Blue Origin,"Blue Origin Launch Site, West Texas, Texas, USA",6/19/2016,14:36:00,New Shepard,NS-5,Active,,Success
3896,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",6/22/2016,3:56:00,PSLV-XL,Cartosat-2C & Rideshares,Active,31,Success
3897,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",6/24/2016,14:30:00,Atlas V 551,MUOS-5,Active,153,Success
3898,CASC,"LC-201, Wenchang Satellite Launch Center, China",6/25/2016,12:00:00,Long March 7/YZ-1A,Demo Flight,Active,,Success
3899,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",6/29/2016,3:21:00,Long March 4B,Shijian 16-02,Active,64.68,Success
3900,Roscosmos,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",7/7/2016,1:36:00,Soyuz FG,Soyuz MS-01,Retired,,Success
3901,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",7/16/2016,21:41:00,Soyuz U,Progress MS-03,Retired,,Success
3902,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",7/18/2016,4:45:00,Falcon 9 Block 3,CRS-9,Retired,62,Success
3903,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",7/28/2016,12:37:00,Atlas V 421,NROL-61,Active,123,Success
3904,CASC,"LC-3, Xichang Satellite Launch Center, China",8/5/2016,16:22:00,Long March 3B/E,Tiantong-1 01,Active,29.15,Success
3905,CASC,"LC-9, Taiyuan Satellite Launch Center, China",8/9/2016,22:55:00,Long March 4C,Gaofen-3,Active,64.68,Success
3906,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",8/14/2016,5:26:00,Falcon 9 Block 3,JCSAT-16,Retired,62,Success
3907,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China",8/15/2016,17:40:00,Long March 2D,"QUESS, Lixing-1, & 3CAT 2",Active,29.75,Success
3908,ULA,"SLC-37B, Cape Canaveral AFS, Florida, USA",8/19/2016,4:52:00,"Delta IV Medium+ (4,2)",AFSPC-6,Retired,164,Success
3909,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",8/24/2016,22:16:00,Ariane 5 ECA,"Intelsat 33e, Intelsat 36",Active,200,Success
3910,CASC,"LC-9, Taiyuan Satellite Launch Center, China",8/31/2016,18:50:00,Long March 4C,Gaofen-10,Active,64.68,Failure
3911,SpaceX,"SLC-40, Cape Canaveral AFS, Florida, USA",9/1/2016,13:07:00,Falcon 9 Block 3,AMOS-6,Retired,62,Prelaunch Failure
3912,ISRO,"Second Launch Pad, Satish Dhawan Space Centre, India",9/8/2016,11:20:00,GSLV Mk II,INSAT-3DR,Active,47,Success
3913,ULA,"SLC-41, Cape Canaveral AFS, Florida, USA",9/8/2016,23:05:00,Atlas V 411,OSIRIS-REx,Retired,115,Success
3914,IAI,"Pad 1, Palmachim Airbase, Israel",9/13/2016,14:30:00,Shavit-2,Ofek-11,Active,,Success
3915,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China",9/15/2016,14:04:00,Long March 2F/T,Tiangong-2,Active,,Success
3916,Arianespace,"ELV-1 (SLV), Guiana Space Centre, French Guiana, France",9/16/2016,1:43:00,Vega,PeruSat-1 and SkySats 4-7,Active,37,Success
3917,ISRO,"First Launch Pad, Satish Dhawan Space Centre, India",9/26/2016,3:42:00,PSLV-G,ScatSat-1 & Rideshares,Retired,25,Success
3918,Arianespace,"ELA-3, Guiana Space Centre, French Guiana, France",10/5/2016,20:30:00,Ariane 5 ECA,"Sky Muster II, GSAT-18",Active,200,Success
