UID,Company,Location,Date,Time,Rocket,Mission,RocketStatus,Price,MissionStatus
554,General Dynamics,"SLC-4E, Vandenberg AFB, California, USA",5/22/1967,18:30:00,Atlas-SLV3 Agena-D,KH-7 Gambit 4037,Retired,,Success
555,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",5/24/1967,22:50:00,Molniya,Molniya-1 nâ€ Â­8,Retired,,Success
556,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",6/1/1967,10:40:00,Voskhod,Cosmos 162,Retired,,Success
557,General Dynamics,"SLC-4E, Vandenberg AFB, California, USA",6/4/1967,18:07:00,Atlas-SLV3 Agena-D,KH-7 Gambit 4038,Retired,,Success
558,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",6/5/1967,5:03:00,Cosmos-2I (63SM),Cosmos 163,Retired,,Success
559,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",6/8/1967,13:00:00,Voskhod,Cosmos 164,Retired,,Success
560,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",6/12/1967,2:39:00,Molniya-M /Block VL,Venera 4,Retired,,Success
561,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",6/12/1967,18:06:00,Cosmos-2I (63SM),Cosmos 165,Retired,,Success
562,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",6/14/1967,6:01:00,Atlas-SLV3 Agena-D,Mariner 5,Retired,,Success
563,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",6/16/1967,4:43:00,Cosmos-2I (63SM),Cosmos 166,Retired,,Success
564,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",6/17/1967,2:36:00,Molniya-M /Block VL,Cosmos 167,Retired,,Partial Failure
565,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",6/20/1967,11:00:00,Voskhod,Zenit-4 nâ€ Â­31,Retired,,Failure
566,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",6/20/1967,16:19:00,Titan IIIB,OPS 4282,Retired,59,Partial Failure
567,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",6/26/1967,,Cosmos-3M (11K65M),Tselina-OM #1,Retired,,Failure
568,Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",7/1/1967,13:15:00,Titan IIIC,"OPS 9331-9334, LES-5 & DODGE",Retired,,Success
569,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",7/4/1967,5:59:00,Voskhod,Cosmos 168,Retired,,Success
570,General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",7/14/1967,11:53:00,Atlas-LV3C Centaur-D,Surveyor 4,Retired,,Success
571,RVSN USSR,"Site 162, Baikonur Cosmodrome, Kazakhstan",7/17/1967,16:45:00,Tsyklon,Cosmos 169,Retired,,Success
572,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",7/21/1967,6:00:00,Voskhod,Zenit-4 nâ€ Â­32,Retired,,Failure
573,General Dynamics,"LC-576B3, Vandenberg AFB, California, USA",7/27/1967,19:00:00,Atlas-D OV1,OV1-11/OV1-12/OV1-86,Retired,,Partial Failure
574,RVSN USSR,"Site 161/35, Baikonur Cosmodrome, Kazakhstan",7/31/1967,16:45:00,Tsyklon,Cosmos 170,Retired,,Success
575,General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",8/1/1967,22:33:00,Atlas-SLV3 Agena-D,Lunar Orbiter 5,Retired,,Success
576,RVSN USSR,"Site 162, Baikonur Cosmodrome, Kazakhstan",8/8/1967,16:05:00,Tsyklon,Cosmos 171,Retired,,Success
577,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",8/9/1967,5:45:00,Voskhod,Cosmos 172,Retired,,Success
578,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",8/16/1967,17:02:00,Titan IIIB,OPS 4866,Retired,59,Success
579,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",8/24/1967,4:59:00,Cosmos-2I (63SM),Cosmos 173,Retired,,Success
580,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",8/31/1967,8:00:00,Molniya,Cosmos 174,Retired,,Success
581,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",9/1/1967,10:30:00,Voskhod,Zenit-2 nâ€ Â­51,Retired,,Failure
582,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",9/8/1967,7:57:00,Atlas-SLV3C Centaur-D,Surveyor 5,Retired,,Success
583,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",9/11/1967,10:30:00,Voskhod,Cosmos 175,Retired,,Success
584,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",9/12/1967,17:00:00,Cosmos-2I (63SM),Cosmos 176,Retired,,Success
585,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",9/16/1967,6:06:00,Voskhod,Cosmos 177,Retired,,Success
586,RVSN USSR,"Site 161/35, Baikonur Cosmodrome, Kazakhstan",9/19/1967,14:45:00,Tsyklon,Cosmos 178,Retired,,Success
587,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",9/19/1967,18:28:00,Titan IIIB,OPS 4941,Retired,59,Success
588,RVSN USSR,"Site 162, Baikonur Cosmodrome, Kazakhstan",9/22/1967,14:05:00,Tsyklon,Cosmos 179,Retired,,Success
589,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",9/26/1967,10:20:00,Voskhod,Cosmos 180,Retired,,Success
590,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",9/27/1967,11:00:00,Cosmos-3M (11K65M),Zaliv #2,Retired,,Failure
591,RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",9/27/1967,21:11:00,Proton K/Block D,Zond,Retired,,Failure
592,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/3/1967,5:00:00,Molniya,Molniya-1 nâ€ Â­9,Retired,,Success
593,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",10/11/1967,11:30:00,Voskhod,Cosmos 181,Retired,,Success
594,OKB-586,"Site 41/15, Baikonur Cosmodrome, Kazakhstan",10/12/1967,14:15:00,Cosmos-3 (11K65),VKZ,Retired,,Success
595,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",10/16/1967,8:00:00,Voskhod,Cosmos 182,Retired,,Success
596,RVSN USSR,"Site 161/35, Baikonur Cosmodrome, Kazakhstan",10/18/1967,13:30:00,Tsyklon,Cosmos 183,Retired,,Success
597,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/22/1967,8:40:00,Molniya,Molniya-1 nâ€ Â­12,Retired,,Success
598,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",10/24/1967,22:49:00,Vostok-2M,Cosmos 184,Retired,,Success
599,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",10/25/1967,19:15:00,Titan IIIB,OPS 4995,Retired,59,Success
600,RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",10/27/1967,2:21:00,Tsyklon-2A,Cosmos 185,Retired,,Success
601,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",10/27/1967,9:29:00,Soyuz,Cosmos 186,Retired,,Success
602,RVSN USSR,"Site 162, Baikonur Cosmodrome, Kazakhstan",10/28/1967,13:15:00,Tsyklon,Cosmos 187,Retired,,Success
603,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/30/1967,8:12:00,Soyuz,Cosmos 188,Retired,,Success
604,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",10/30/1967,18:00:00,Cosmos-3M (11K65M),Cosmos 189,Retired,,Success
605,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",11/3/1967,11:20:00,Voskhod,Cosmos 190,Retired,,Success
606,General Dynamics,"LC-12, Cape Canaveral AFS, Florida, USA",11/5/1967,23:37:00,Atlas-SLV3 Agena-D,ATS-3,Retired,,Success
607,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",11/7/1967,7:39:00,Atlas-SLV3C Centaur-D,Surveyor 6,Retired,,Success
608,NASA,"LC-39A, Kennedy Space Center, Florida, USA",11/9/1967,12:00:00,Saturn V,Apollo 4,Retired,"1,160.00",Success
609,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",11/21/1967,14:29:00,Cosmos-2I (63SM),Cosmos 191,Retired,,Success
610,RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",11/22/1967,19:07:00,Proton K/Block D,Zond,Retired,,Failure
611,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",11/23/1967,15:00:00,Cosmos-3M (11K65M),Cosmos 192,Retired,,Success
612,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",11/25/1967,11:30:00,Voskhod,Cosmos 193,Retired,,Success
613,AMBA,"LA-5B, RAAF Woomera Range Complex, Australia",11/29/1967,,Redstone Sparta,WRESAT,Retired,,Success
614,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",12/3/1967,12:00:00,Voskhod,Cosmos 194,Retired,,Success
615,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",12/5/1967,18:45:00,Titan IIIB,OPS 5000,Retired,59,Success
616,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",12/16/1967,12:00:00,Voskhod,Cosmos 195,Retired,,Success
617,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",12/19/1967,6:30:00,Cosmos-2I (63S1),Cosmos 196,Retired,,Success
618,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",12/26/1967,9:01:00,Cosmos-2I (63SM),Cosmos 197,Retired,,Success
619,RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",12/27/1967,11:28:00,Tsyklon-2A,Cosmos 198,Retired,,Success
620,General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",1/7/1968,6:30:00,Atlas-SLV3C Centaur-D,Surveyor 7,Retired,,Success
621,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1/16/1968,12:00:00,Voskhod,Cosmos 199,Retired,,Success
622,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1/18/1968,19:04:00,Titan IIIB,OPS 5028,Retired,59,Success
623,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1/19/1968,22:00:00,Cosmos-3M (11K65M),Cosmos 200,Retired,,Success
624,NASA,"SLC-37B, Cape Canaveral AFS, Florida, USA",1/22/1968,22:48:00,Saturn IB,Apollo 5,Retired,,Success
625,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",2/6/1968,8:00:00,Voskhod,Cosmos 201,Retired,,Success
626,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",2/7/1968,10:43:00,Molniya-M /Block L,E-6LS nâ€ Â­112,Retired,,Failure
627,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",2/20/1968,10:03:00,Cosmos-2I (63SM),Cosmos 202,Retired,,Success
628,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",2/20/1968,16:00:00,Cosmos-3M (11K65M),Cosmos 203,Retired,,Success
629,RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",3/2/1968,18:29:00,Proton K/Block D,Zond-4,Retired,,Partial Failure
630,General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",3/4/1968,13:06:00,Atlas-SLV3A Agena-D,OGO-5,Retired,,Success
631,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",3/5/1968,11:20:00,Cosmos-2I (63SM),Cosmos 204,Retired,,Success
632,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",3/5/1968,12:30:00,Voskhod,Cosmos 205,Retired,,Success
633,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",3/6/1968,,Cosmos-2I (63SM),DS-U1-Ya #1,Retired,,Failure
634,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",3/13/1968,19:55:00,Titan IIIB,OPS 5057,Retired,59,Success
635,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",3/14/1968,9:34:00,Vostok-2M,Cosmos 206,Retired,,Success
636,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",3/16/1968,12:30:00,Voskhod,Cosmos 207,Retired,,Success
637,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",3/21/1968,9:50:00,Voskhod,Cosmos 208,Retired,,Success
638,RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",3/22/1968,9:30:00,Tsyklon-2A,Cosmos 209,Retired,,Success
639,OKB-586,"Site 41/15, Baikonur Cosmodrome, Kazakhstan",3/28/1968,,Cosmos-3 (11K65),VKZ,Retired,,Success
640,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",4/3/1968,11:00:00,Voskhod,Cosmos 210,Retired,,Success
641,NASA,"LC-39A, Kennedy Space Center, Florida, USA",4/4/1968,12:00:00,Saturn V,Apollo 6,Retired,"1,160.00",Partial Failure
642,General Dynamics,"LC-576A2, Vandenberg AFB, California, USA",4/6/1968,9:59:00,Atlas-E/F OV1,OV1-13/OV1-14,Retired,,Success
643,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",4/7/1968,10:09:00,Molniya-M /Block L,Luna 14,Retired,,Success
644,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",4/9/1968,11:26:00,Cosmos-2I (63SM),Cosmos 211,Retired,,Success
645,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",4/14/1968,10:00:00,Soyuz,Cosmos 212,Retired,,Success
646,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",4/15/1968,9:34:00,Soyuz,Cosmos 213,Retired,,Success
647,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",4/17/1968,17:00:00,Titan IIIB,OPS 5105,Retired,59,Success
648,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",4/18/1968,10:30:00,Voskhod,Cosmos 214,Retired,,Success
649,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",4/18/1968,22:29:00,Cosmos-2I (63SM),Cosmos 215,Retired,,Success
650,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",4/20/1968,10:30:00,Voskhod,Cosmos 216,Retired,,Success
651,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",4/21/1968,4:20:00,Molniya-M /Block L,Molniya-1 nâ€ Â­10,Retired,,Success
652,RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",4/22/1968,23:01:00,Proton K/Block D,Zond,Retired,,Failure
653,RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",4/24/1968,16:00:00,Tsyklon-2A,Cosmos 217,Retired,,Partial Failure
654,RVSN USSR,"Site 162, Baikonur Cosmodrome, Kazakhstan",4/25/1968,0:45:00,Tsyklon,Cosmos 218,Retired,,Success
655,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",4/26/1968,4:42:00,Cosmos-2I (63SM),Cosmos 219,Retired,,Success
656,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",5/7/1968,13:57:00,Cosmos-3M (11K65M),Cosmos 220,Retired,,Success
657,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",5/24/1968,7:04:00,Cosmos-2I (63SM),Cosmos 221,Retired,,Success
658,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",5/30/1968,20:29:00,Cosmos-2I (63SM),Cosmos 222,Retired,,Success
659,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",6/1/1968,10:50:00,Voskhod,Cosmos 223,Retired,,Success
660,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",6/4/1968,6:45:00,Voskhod,Cosmos 224,Retired,,Success
661,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",6/4/1968,18:45:00,Cosmos-3M (11K65M),Sfera #2,Retired,,Failure
662,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",6/5/1968,17:31:00,Titan IIIB,OPS 5138,Retired,59,Success
663,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",6/11/1968,21:29:00,Cosmos-2I (63SM),Cosmos 225,Retired,,Success
664,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",6/12/1968,13:14:00,Vostok-2M,Cosmos 226,Retired,,Success
665,Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",6/13/1968,14:03:00,Titan IIIC,OPS 9341-9348,Retired,,Success
666,RVSN USSR,"Site 41/15, Baikonur Cosmodrome, Kazakhstan",6/15/1968,,Cosmos-3 (11K65),Strela-2 #4,Retired,,Failure
667,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",6/18/1968,16:15:00,Voskhod,Cosmos 227,Retired,,Success
668,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",6/21/1968,12:00:00,Voskhod,Cosmos 228,Retired,,Success
669,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",6/26/1968,11:00:00,Voskhod,Cosmos 229,Retired,,Success
670,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",7/5/1968,6:59:00,Cosmos-2I (63SM),Cosmos 230,Retired,,Success
671,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",7/5/1968,15:25:00,Molniya-M /Block L,Molniya-1 nâ€ Â­13,Retired,,Success
672,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",7/10/1968,19:49:00,Voskhod,Cosmos 231,Retired,,Success
673,General Dynamics,"LC-576A2, Vandenberg AFB, California, USA",7/11/1968,19:30:00,Atlas-E/F OV1,OV1-15/OV1-16,Retired,,Success
674,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",7/16/1968,13:10:00,Voskhod,Cosmos 232,Retired,,Success
675,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",7/18/1968,19:59:00,Cosmos-2I (63SM),Cosmos 233,Retired,,Success
676,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",7/30/1968,7:00:00,Voskhod,Cosmos 234,Retired,,Success
677,General Dynamics,"LC-13, Cape Canaveral AFS, Florida, USA",8/6/1968,11:08:00,Atlas-SLV3A Agena-D,Canyon 1 (AFP-827),Retired,,Success
678,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",8/6/1968,16:33:00,Titan IIIB,OPS 5187,Retired,59,Success
679,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",8/6/1968,18:30:00,Titan IIIB,OPS 5247,Retired,59,Success
680,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",8/9/1968,7:00:00,Voskhod,Cosmos 235,Retired,,Success
681,General Dynamics,"SLC-36A, Cape Canaveral AFS, Florida, USA",8/10/1968,22:33:00,Atlas-SLV3C Centaur-D,ATS-4,Retired,,Partial Failure
682,General Dynamics,"SLC-3E, Vandenberg AFB, California, USA",8/16/1968,20:57:00,Atlas-SLV3 Burner-2,STP P68-1,Retired,,Failure
683,RVSN USSR,"Site 41/15, Baikonur Cosmodrome, Kazakhstan",8/27/1968,11:29:00,Cosmos-3 (11K65),Cosmos 236,Retired,,Success
684,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",8/27/1968,12:59:00,Voskhod,Cosmos 237,Retired,,Success
685,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",8/28/1968,10:04:00,Soyuz,Cosmos 238,Retired,,Success
686,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",9/5/1968,7:00:00,Voskhod,Cosmos 239,Retired,,Success
687,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",9/14/1968,16:50:00,Voskhod,Cosmos 240,Retired,,Success
688,RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",9/14/1968,21:42:00,Proton K/Block D,Zond-5,Retired,,Success
689,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",9/16/1968,12:30:00,Voskhod,Cosmos 241,Retired,,Success
690,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",9/20/1968,14:39:00,Cosmos-2I (63SM),Cosmos 242,Retired,,Success
691,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",9/23/1968,7:39:00,Voskhod,Cosmos 243,Retired,,Success
692,Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",9/26/1968,7:37:00,Titan IIIC,"LES-6, OV2-5, OV5-2, OV5-4",Retired,,Success
693,RVSN USSR,"Site 161/35, Baikonur Cosmodrome, Kazakhstan",10/2/1968,13:35:00,Tsyklon,Cosmos 244,Retired,,Success
694,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",10/3/1968,12:59:00,Cosmos-2I (63SM),Cosmos 245,Retired,,Success
695,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/5/1968,0:32:00,Molniya-M /Block L,Molniya-1 nâ€ Â­14,Retired,,Success
696,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",10/7/1968,12:05:00,Voskhod,Cosmos 246,Retired,,Partial Failure
697,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",10/11/1968,12:05:00,Voskhod,Cosmos 247,Retired,,Success
698,NASA,"LC-34, Cape Canaveral AFS, Florida, USA",10/11/1968,15:02:00,Saturn IB,Apollo 7,Retired,,Success
699,RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",10/19/1968,4:20:00,Tsyklon-2A,Cosmos 248,Retired,,Success
700,RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",10/20/1968,4:02:00,Tsyklon-2A,Cosmos 249,Retired,,Success
701,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/25/1968,9:00:00,Soyuz,Soyuz 2,Retired,,Success
702,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",10/26/1968,8:34:00,Soyuz,Soyuz 3,Retired,,Success
703,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",10/30/1968,22:00:00,Cosmos-3M (11K65M),Cosmos 250,Retired,,Success
704,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",10/31/1968,9:14:00,Voskhod,Cosmos 251,Retired,,Success
705,RVSN USSR,"Site 90/20, Baikonur Cosmodrome, Kazakhstan",11/1/1968,0:27:00,Tsyklon-2A,Cosmos 252,Retired,,Success
706,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",11/6/1968,19:10:00,Titan IIIB,OPS 5296,Retired,59,Success
707,RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",11/10/1968,19:11:00,Proton K/Block D,Zond-6,Retired,,Success
708,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",11/13/1968,12:00:00,Voskhod,Cosmos 253,Retired,,Success
709,RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",11/16/1968,11:40:00,Proton K,Proton-4,Retired,,Success
710,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",11/21/1968,12:10:00,Voskhod,Cosmos 254,Retired,,Success
711,CECLES,"LA-5B, RAAF Woomera Range Complex, Australia",11/29/1968,9:47:00,Europa 1,STV-1,Retired,,Success
712,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",11/29/1968,12:40:00,Voskhod,Cosmos 255,Retired,,Success
713,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",11/30/1968,12:00:00,Cosmos-3M (11K65M),Cosmos 256,Retired,,Success
714,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",12/3/1968,14:52:00,Cosmos-2I (63SM),Cosmos 257,Retired,,Success
715,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",12/4/1968,19:23:00,Titan IIIB,OPS 6518,Retired,59,Success
716,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",12/7/1968,8:40:00,Atlas-SLV3C Centaur-D,OAO-2,Retired,,Success
717,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",12/10/1968,8:25:00,Voskhod,Cosmos 258,Retired,,Success
718,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",12/14/1968,5:09:00,Cosmos-2I (63SM),Cosmos 259,Retired,,Success
719,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",12/16/1968,9:15:00,Molniya-M /Block L,Cosmos 260,Retired,,Success
720,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",12/19/1968,23:55:00,Cosmos-2I (63SM),Cosmos 261,Retired,,Success
721,NASA,"LC-39A, Kennedy Space Center, Florida, USA",12/21/1968,12:51:00,Saturn V,Apollo 8,Retired,"1,160.00",Success
722,RVSN USSR,"Site 86/1, Kapustin Yar, Russia",12/26/1968,9:45:00,Cosmos-2I (63SM),Cosmos 262,Retired,,Success
723,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1/5/1969,6:28:00,Molniya-M /Block VL,Venera 5,Retired,,Success
724,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1/10/1969,5:51:00,Molniya-M /Block VL,Venera 6,Retired,,Success
725,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1/12/1969,12:10:00,Voskhod,Cosmos 263,Retired,,Success
726,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1/14/1969,7:30:00,Soyuz,Soyuz 4,Retired,,Success
727,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1/15/1969,7:04:00,Soyuz,Soyuz 5,Retired,,Success
728,RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",1/20/1969,4:14:00,Proton K/Block D,Zond,Retired,,Failure
729,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1/22/1969,19:10:00,Titan IIIB,OPS 7585,Retired,59,Success
730,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1/23/1969,9:15:00,Voskhod,Cosmos 264,Retired,,Success
731,RVSN USSR,"Site 90/19, Baikonur Cosmodrome, Kazakhstan",1/25/1969,11:14:00,Tsyklon-2A,US-A nâ€ Â­5,Retired,,Failure
732,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",2/1/1969,12:11:00,Vostok-2M,Meteor nâ€ Â­11,Retired,,Failure
733,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",2/7/1969,13:59:00,Cosmos-2I (63SM),Cosmos 265,Retired,,Success
734,Martin Marietta,"SLC-41, Cape Canaveral AFS, Florida, USA",2/9/1969,21:09:00,Titan IIIC,OPS-0757 (Tacsat),Retired,,Success
735,RVSN USSR,"Site 81/24, Baikonur Cosmodrome, Kazakhstan",2/19/1969,6:48:00,Proton K/Block D,Luna-15a,Retired,,Failure
736,RVSN USSR,"Site 110/38, Baikonur Cosmodrome, Kazakhstan",2/21/1969,9:18:00,N1-L3,3L (Zond L1S-1),Retired,,Failure
737,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",2/25/1969,1:29:00,Atlas-SLV3C Centaur-D,Mariner 6,Retired,,Success
738,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",2/25/1969,10:20:00,Voskhod,Cosmos 266,Retired,,Success
